"theme","type","type-acronyme","organisme","organisme-acronyme","url","email","telephone"
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Haute-Vienne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Haut-Rhin",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Hauts-de-Seine",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Hérault",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Ille-et-Vilaine",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Indre",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Indre-et-Loire",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Jura",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Landes",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Loire",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Loire-Atlantique",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Loiret",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Loir-et-Cher",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Lot",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Lot-et-Garonne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Lozère",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Maine-et-Loire",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Manche",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Marne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Martinique",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Mayenne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Meurthe-et-Moselle",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Meuse",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Morbihan",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Moselle",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Nièvre",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Nord",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Oise",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Orne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Paris",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Pas-de-Calais",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Puy-de-Dôme",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Pyrénées-Atlantiques",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Pyrénées-Orientales",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Réunion",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Sarthe",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Savoie",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Seine-et-Marne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Seine-Maritime",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Seine-Saint-Denis",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Somme",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Tarn",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Tarn-et-Garonne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Territoire de Belfort",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Val-d'Oise",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Val-de-Marne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Var",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Vaucluse",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Vendée",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Vienne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Vosges",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Yonne",,,,
"Social, santé","Maison départementale des personnes handicapées",,"Maison départementale des personnes handicapées (MDPH) - Yvelines",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Ain-Rhône - accueil de Bourg-en-Bresse",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Ain-Rhône - accueil de Lyon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Alpes-du-Nord - accueil d'Annecy",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Alpes-du-Nord - accueil de Chambéry",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Alpes-du-Nord - accueil de Grenoble",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Alpes-Vaucluse - accueil d'Avignon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Alpes-Vaucluse - accueil de Gap",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Ardèche-Drôme-Loire - accueil de Privas",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Ardèche-Drôme-Loire - accueil de Saint-Priest-en-Jarez",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Ardèche-Drôme-Loire - accueil de Valence",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Armorique - accueil de Landerneau",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Armorique - accueil de Saint-Brieuc",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Auvergne - accueil d'Aurillac",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Auvergne - accueil de Clermont-Ferrand",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Auvergne - accueil de Moulins",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Auvergne - accueil du Puy-en-Velay",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Beauce Coeur-de-Loire - accueil de Chartres",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Beauce-Coeur-de-Loire - accueil d'Orléans",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Berry-Touraine - accueil de Blois",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Berry-Touraine - accueil de Tours",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil d'Autun",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil d'Auxerre",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil d'Avallon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Charolles",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Châtillon-sur-Seine",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Corbigny",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Cosne-Cours-sur-Loire",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Crissey",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Dijon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Levernois",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Louhans",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Luzy",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Mâcon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Maillot",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Nevers",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Semur-en-Auxois",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Tonnerre",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne - accueil de Toucy",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil d'Arbois",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Belfort",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Besançon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Foucherans",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Gray",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de L'Isle-sur-le-Doubs",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Lons-le-Saunier",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Pontarlier",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Bourgogne-Franche-Comté - accueil de Vesoul",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil d'Angoulême",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Barbezieux-Saint-Hilaire",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Confolens",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Jonzac",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de La Rochelle",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Mansle",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Marennes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Saintes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Saint-Jean-d'Angély",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Charentes - accueil de Segonzac",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Corse - accueil d'Ajaccio",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Côtes-Normandes - accueil de Saint-Lô",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Dordogne-Lot-et-Garonne - accueil d'Agen",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Dordogne-Lot-et-Garonne - accueil de Bergerac",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Dordogne-Lot-et-Garonne - accueil de Marmande",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Dordogne-Lot-et-Garonne - accueil de Nérac",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Bulgnéville",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil d'Épinal",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Lunéville",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Metz",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Morhange",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Sarrebourg",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Sarreguemines",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand Est - accueil de Yutz",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Grand-Sud - accueil de Limoux",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Guadeloupe - accueil de Pointe-à-Pitre",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Guyane - accueil de Cayenne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Cergy",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Cergy - accueil pour les entreprises",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil d'Étampes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil d'Étampes - accueil pour les entreprises",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Gentilly",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Gentilly - accueil pour les entreprises",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Mantes-la-Jolie",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Mantes-la-Jolie - accueil pour les entreprises",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Meaux",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Mée-sur-Seine",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Provins",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Rambouillet",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Île-de-France - accueil de Rambouillet - accueil pour les entreprises",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil d'Alès",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Bagnols-sur-Cèze",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Beaucaire",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Béziers",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Clermont-l'Hérault",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Florac",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Langogne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Lunel",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Marvejols",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Mende",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Montpellier",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Nîmes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Saint-Chély-d'Apcher",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Languedoc - accueil de Vauvert",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) La Réunion - accueil de Saint-Denis",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Loire-Atlantique-Vendée - accueil de La Roche-sur-Yon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Bar-le-Duc",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Châlons-en-Champagne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Charleville-Mézières",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil d'Épernay",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Reims",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Rethel",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Sainte-Menehould",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Sézanne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Verdun",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Vitry-le-François",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Marne-Ardennes-Meuse - accueil de Vouziers",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Martinique - accueil du Lamentin",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Mayenne-Orne-Sarthe - accueil d'Alençon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Mayenne-Orne-Sarthe - accueil de Laval",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Mayenne-Orne-Sarthe - accueil du Mans",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Meurthe-et-Moselle - accueil de Vandœuvre-lès-Nancy",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Nord - accueil d'Albi",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Nord - accueil de Cahors",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Nord - accueil de Montauban",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Nord - accueil de Rodez",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Sud - accueil d'Auch",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Sud - accueil de Foix",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Sud - accueil de Tarbes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Midi-Pyrénées - Sud - accueil de Toulouse",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nord-Pas-de-Calais - accueil de Capinghem",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Normandie - accueil d’Évreux",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Bordeaux",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Guéret",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Libourne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Limoges",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Nontron",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Périgueux",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Sarlat",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Tulle",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Nouvelle-Aquitaine - accueil de Villeneuve-sur-Lot",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Occitanie - accueil de Carcassonne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Occitanie - accueil de Castelnaudary",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Occitanie - accueil de Lézignan-Corbières",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Occitanie - accueil de Narbonne",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Occitanie - accueil de Perpignan",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Occitanie - accueil de Quillan",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Pays de la Loire - accueil de Beaucouzé",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Pays de la Loire - accueil de Saint-Herblain - Nantes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Picardie - accueil de Beauvais",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Picardie - accueil de Boves",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Picardie - accueil de Laon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Portes-de-Bretagne - accueil de Rennes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Portes-de-Bretagne - accueil de Vannes",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Provence-Azur - accueil de Draguignan",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Provence-Azur - accueil de Marseille",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Provence-Azur - accueil de Nice",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil d'Antran",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Bressuire",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Chauray",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Loudun",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Montmorillon",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Parthenay",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Poitiers",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Saint-Jean-de-Thouars",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Saint-Martin-lès-Melle",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sèvres-Vienne - accueil de Savigné",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil d'Aire-sur-l'Adour",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil de Dax",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil de Hasparren",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil d'Oloron-Sainte-Marie",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil d'Orthez",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil de Pau",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil de Saint-Palais",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Aquitaine - accueil de Saint-Pierre-du-Mont",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Champagne - accueil d'Arcis-sur-Aube",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Champagne - accueil de Bar-sur-Aube",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Champagne - accueil de Chaumont",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Champagne - accueil de Langres",,,,
"Social, santé","Mutualité sociale agricole",,"Mutualité sociale agricole (MSA) Sud-Champagne - accueil de Troyes",,,,
